ZoneNumber,Commodity,BuyingSize,SellingSize,SpecifiedExchange,ImportFunctionMidpoint,ImportFunctionMidpointPrice,ExportFunctionMidpoint,ExportFunctionMidpointPrice,ImportFunctionDelta,ImportFunctionSlope,ImportFunctionEta,ExportFunctionDelta,ExportFunctionSlope,ExportFunctionEta,MonitorExchange
-1,Scrap and Other,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
1,Adjustments,1,1,TRUE,1.00E+08,1,1.00E+08,1,1.00E+08,1.00E+08,10,-1.00E+08,-1.00E+08,10,FALSE
-1,K-12 Instruction,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Air Pollution,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Water Pollution,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
-1,Solid Waste,1,1,FALSE,1.00E+06,1,1.00E+06,1,1.00E+06,1.00E+06,10,-1.00E+06,-1.00E+06,10,FALSE
1,Payroll Tax Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
1,Other Tax Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
1,Other Property Income Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
1,Indirect Business Tax Receipts,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
1,Capital Investment Certificates,1,1,TRUE,1.50E+10,1,1.50E+10,1,1.50E+10,1.50E+10,10,-1.50E+10,-1.50E+10,10,FALSE
