19-Dec-2013 15:03:46:955, INFO, Setting up Exchanges and ZUtilitites
19-Dec-2013 15:03:47:112, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:03:47:112, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:03:47:112, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:03:47:127, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:03:47:127, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:04:08:220, INFO, Setting up Exchanges and ZUtilitites
19-Dec-2013 15:04:08:345, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:04:08:345, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:04:08:361, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:04:08:361, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:04:08:377, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:05:24:444, INFO, Setting up Exchanges and ZUtilitites
19-Dec-2013 15:05:51:481, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:05:51:481, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:05:51:497, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:05:51:497, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:05:51:497, INFO, 	ZonalMakeUse.csv has been written
19-Dec-2013 15:08:13:365, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 05:52:51:237, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 05:52:51:237, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 05:52:51:237, FATAL, Invalid commodity name 0 in ExchangeImportExportI
20-Dec-2013 05:55:40:544, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 05:56:42:803, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 05:56:42:803, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 05:58:54:000, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:01:18:458, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:01:36:788, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:01:36:788, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:02:25:008, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:03:09:546, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:03:09:546, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:03:45:395, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:03:45:395, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:19:06:982, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:21:11:190, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:21:11:190, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:21:33:623, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:22:03:139, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:22:03:139, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:22:03:139, ERROR, no column named ImportFunctionMidpoint in TableDataSet
20-Dec-2013 06:39:23:679, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:39:23:679, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:40:20:324, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:40:20:339, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:57:37:108, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:57:37:108, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:58:35:311, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 06:58:35:311, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity One zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity One zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity One zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity One zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity Two zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity Two zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity Two zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 06:58:35:342, INFO, Can't locate size term for Commodity Two zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:12:064, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:23:20:862, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:23:32:309, INFO, Can't locate size term for Commodity One zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:309, INFO, Can't locate size term for Commodity One zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:309, INFO, Can't locate size term for Commodity One zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:309, INFO, Can't locate size term for Commodity One zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:310, INFO, Can't locate size term for Commodity Two zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:310, INFO, Can't locate size term for Commodity Two zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:310, INFO, Can't locate size term for Commodity Two zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:23:32:310, INFO, Can't locate size term for Commodity Two zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:296, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:47:26:300, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:47:26:306, INFO, Can't locate size term for Commodity One zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:306, INFO, Can't locate size term for Commodity One zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:306, INFO, Can't locate size term for Commodity One zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:306, INFO, Can't locate size term for Commodity One zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:306, INFO, Can't locate size term for Commodity Two zone 1 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:307, INFO, Can't locate size term for Commodity Two zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:307, INFO, Can't locate size term for Commodity Two zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:47:26:307, INFO, Can't locate size term for Commodity Two zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:55:02:503, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:55:02:507, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:55:02:508, FATAL, Invalid zone number 5 in ExchangeImportExportTable
20-Dec-2013 07:55:53:262, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:55:53:266, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:55:53:267, FATAL, Invalid zone number 6 in ExchangeImportExportTable
20-Dec-2013 07:56:07:222, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:56:07:226, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:56:07:233, INFO, Can't locate size term for Commodity One zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:07:233, INFO, Can't locate size term for Commodity One zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:07:233, INFO, Can't locate size term for Commodity One zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:07:233, INFO, Can't locate size term for Commodity Two zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:07:233, INFO, Can't locate size term for Commodity Two zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:07:234, INFO, Can't locate size term for Commodity Two zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:56:15:693, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:56:15:697, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:56:15:698, FATAL, Invalid zone number 6 in ExchangeImportExportTable
20-Dec-2013 07:56:43:061, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:56:43:064, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:56:43:065, FATAL, Invalid zone number 6 in ExchangeImportExportTable
20-Dec-2013 07:56:52:848, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:57:04:788, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:57:04:791, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:57:04:797, INFO, Can't locate size term for Commodity One zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:04:797, INFO, Can't locate size term for Commodity One zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:04:797, INFO, Can't locate size term for Commodity One zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:04:797, INFO, Can't locate size term for Commodity Two zone 2 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:04:798, INFO, Can't locate size term for Commodity Two zone 3 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:04:798, INFO, Can't locate size term for Commodity Two zone 4 using 1.0 for size terms and setting imports/exports to zero
20-Dec-2013 07:57:18:972, INFO, Setting up Exchanges and ZUtilitites
20-Dec-2013 07:57:18:976, INFO, Found year-specific ExchangeImportExportI in current year (aa.current.data)
20-Dec-2013 07:57:18:977, FATAL, Invalid zone number 6 in ExchangeImportExportTable
20-Dec-2013 07:57:29:059, INFO, Setting up Exchanges and ZUtilitites
