TAZ,Commodity,Quantity
911,Active Park Space,30.8
911,Single Family Attached Residential Economy,707
911,Single Family Detached Residential Economy,9431.6
911,Multi-Family Residential Economy,12615.6
912,Active Park Space,30.8
912,Single Family Attached Residential Economy,707
912,Single Family Detached Residential Economy,9431.6
912,Multi-Family Residential Economy,12615.6
913,Active Park Space,30.8
913,Single Family Attached Residential Economy,707
913,Single Family Detached Residential Economy,9431.6
913,Multi-Family Residential Economy,12615.6
914,Active Park Space,30.8
914,Single Family Attached Residential Economy,707
914,Single Family Detached Residential Economy,9431.6
914,Multi-Family Residential Economy,12615.6
915,Active Park Space,30.8
915,Single Family Attached Residential Economy,707
915,Single Family Detached Residential Economy,9431.6
915,Multi-Family Residential Economy,12615.6
930,Single Family Detached Residential Economy,314
930,Health Care Space,1449
930,Retail Space,1579.166667
930,Single Family Detached Residential Luxury,146.8333333
930,Single Family Attached Residential Economy,298.6666667
930,Multi-Family Residential Economy,818.8333333
931,Single Family Detached Residential Economy,314
931,Health Care Space,1449
931,Retail Space,1579.166667
931,Single Family Detached Residential Luxury,146.8333333
931,Single Family Attached Residential Economy,298.6666667
931,Multi-Family Residential Economy,818.8333333
933,Single Family Detached Residential Economy,314
933,Health Care Space,1449
933,Retail Space,1579.166667
933,Single Family Detached Residential Luxury,146.8333333
933,Single Family Attached Residential Economy,298.6666667
933,Multi-Family Residential Economy,818.8333333
942,Single Family Detached Residential Economy,314
942,Health Care Space,1449
942,Retail Space,1579.166667
942,Single Family Detached Residential Luxury,146.8333333
942,Single Family Attached Residential Economy,298.6666667
942,Multi-Family Residential Economy,818.8333333
944,Single Family Detached Residential Economy,314
944,Health Care Space,1449
944,Retail Space,1579.166667
944,Single Family Detached Residential Luxury,146.8333333
944,Single Family Attached Residential Economy,298.6666667
944,Multi-Family Residential Economy,818.8333333
945,Single Family Detached Residential Economy,314
945,Health Care Space,1449
945,Retail Space,1579.166667
945,Single Family Detached Residential Luxury,146.8333333
945,Single Family Attached Residential Economy,298.6666667
945,Multi-Family Residential Economy,818.8333333
952,Single Family Detached Residential Economy,1383.6
952,Single Family Attached Residential Economy,1706.6
952,Single Family Detached Residential Luxury,5012.8
955,Single Family Detached Residential Economy,1383.6
955,Single Family Attached Residential Economy,1706.6
955,Single Family Detached Residential Luxury,5012.8
959,Single Family Detached Residential Economy,1383.6
959,Single Family Attached Residential Economy,1706.6
959,Single Family Detached Residential Luxury,5012.8
960,Single Family Detached Residential Economy,3814
960,Single Family Detached Residential Luxury,6342.5
960,Single Family Attached Residential Economy,5702.5
961,Single Family Detached Residential Economy,3814
961,Single Family Detached Residential Luxury,6342.5
961,Single Family Attached Residential Economy,5702.5
964,Single Family Detached Residential Economy,1383.6
964,Single Family Attached Residential Economy,1706.6
964,Single Family Detached Residential Luxury,5012.8
965,Single Family Detached Residential Economy,1383.6
965,Single Family Attached Residential Economy,1706.6
965,Single Family Detached Residential Luxury,5012.8
1685,Light Industrial Space,3420
1686,Light Industrial Space,3420
1687,Light Industrial Space,3420
1688,Light Industrial Space,3420
1689,Light Industrial Space,3420
1690,Light Industrial Space,3420
1692,Light Industrial Space,3420
1694,Light Industrial Space,3420
1696,Light Industrial Space,3420
2303,Single Family Attached Residential Economy,1370.25
2303,Single Family Detached Residential Luxury,1461
2303,Multi-Family Residential Economy,566.75
2304,Single Family Attached Residential Economy,1370.25
2304,Single Family Detached Residential Luxury,1461
2304,Multi-Family Residential Economy,566.75
2305,Single Family Attached Residential Economy,1370.25
2305,Single Family Detached Residential Luxury,1461
2305,Multi-Family Residential Economy,566.75
2307,Single Family Attached Residential Economy,1370.25
2307,Single Family Detached Residential Luxury,1461
2307,Multi-Family Residential Economy,566.75
2338,Active Park Space,0
2338,Single Family Detached Residential Economy,1526.166667
2338,Single Family Attached Residential Economy,1682.333333
2339,Active Park Space,0
2339,Single Family Detached Residential Economy,1526.166667
2339,Single Family Attached Residential Economy,1682.333333
2340,Active Park Space,0
2340,Single Family Detached Residential Economy,1526.166667
2340,Single Family Attached Residential Economy,1682.333333
2341,Active Park Space,0
2341,Single Family Detached Residential Economy,1526.166667
2341,Single Family Attached Residential Economy,1682.333333
2342,Active Park Space,0
2342,Single Family Detached Residential Economy,1526.166667
2342,Single Family Attached Residential Economy,1682.333333
2343,Active Park Space,0
2343,Single Family Detached Residential Economy,1526.166667
2343,Single Family Attached Residential Economy,1682.333333
2410,Multi-Family Residential Luxury,3575.333333
2410,Office Space,3252.333333
2410,Retail Space,4516.666667
2410,Multi-Family Residential Economy,11066.66667
2411,Multi-Family Residential Luxury,3575.333333
2411,Office Space,3252.333333
2411,Retail Space,4516.666667
2411,Multi-Family Residential Economy,11066.66667
2412,Multi-Family Residential Luxury,3575.333333
2412,Office Space,3252.333333
2412,Retail Space,4516.666667
2412,Multi-Family Residential Economy,11066.66667
2428,Retail Space,21066.66667
2428,Office Space,156738.6667
2431,Retail Space,21066.66667
2431,Office Space,156738.6667
2435,Retail Space,21066.66667
2435,Office Space,156738.6667
2471,Retail Space,0
2471,Multi-Family Residential Luxury,13189.5
2473,Retail Space,24554
2474,Retail Space,0
2474,Multi-Family Residential Luxury,13189.5
2475,Multi-Family Residential Luxury,1950.166667
2475,Retail Space,1666.666667
2475,Multi-Family Residential Economy,7073.5
2476,Multi-Family Residential Luxury,1950.166667
2476,Retail Space,1666.666667
2476,Multi-Family Residential Economy,7073.5
2477,Multi-Family Residential Luxury,1950.166667
2477,Retail Space,1666.666667
2477,Multi-Family Residential Economy,7073.5
2478,Multi-Family Residential Luxury,1950.166667
2478,Retail Space,1666.666667
2478,Multi-Family Residential Economy,7073.5
2479,Multi-Family Residential Luxury,1950.166667
2479,Retail Space,1666.666667
2479,Multi-Family Residential Economy,7073.5
2480,Multi-Family Residential Luxury,1950.166667
2480,Retail Space,1666.666667
2480,Multi-Family Residential Economy,7073.5
2493,Active Park Space,0
2493,Depot Space,0
2498,Office Space,50000
2498,Retail Space,242640
2508,Multi-Family Residential Economy,577.1
2508,Single Family Attached Residential Economy,340.9
2508,Single Family Detached Residential Luxury,1315.4
2510,Multi-Family Residential Economy,577.1
2510,Single Family Attached Residential Economy,340.9
2510,Single Family Detached Residential Luxury,1315.4
2511,Multi-Family Residential Economy,577.1
2511,Single Family Attached Residential Economy,340.9
2511,Single Family Detached Residential Luxury,1315.4
2512,Multi-Family Residential Economy,577.1
2512,Single Family Attached Residential Economy,340.9
2512,Single Family Detached Residential Luxury,1315.4
2513,Multi-Family Residential Economy,577.1
2513,Single Family Attached Residential Economy,340.9
2513,Single Family Detached Residential Luxury,1315.4
2514,Multi-Family Residential Economy,577.1
2514,Single Family Attached Residential Economy,340.9
2514,Single Family Detached Residential Luxury,1315.4
3931,Single Family Detached Residential Economy,3557.777778
3933,Single Family Detached Residential Economy,3557.777778
3935,Single Family Detached Residential Economy,3557.777778
3936,Single Family Detached Residential Economy,3557.777778
3937,Single Family Detached Residential Economy,3557.777778
3938,Single Family Detached Residential Economy,3557.777778
3939,Single Family Detached Residential Economy,3557.777778
3940,Single Family Detached Residential Economy,3557.777778
3941,Single Family Detached Residential Economy,3557.777778
3962,Single Family Attached Residential Economy,248.3
3962,Single Family Detached Residential Economy,7360.4
3963,Single Family Attached Residential Economy,248.3
3963,Single Family Detached Residential Economy,7360.4
3964,Single Family Attached Residential Economy,248.3
3964,Single Family Detached Residential Economy,7360.4
3965,Single Family Attached Residential Economy,248.3
3965,Single Family Detached Residential Economy,7360.4
3966,Single Family Detached Residential Luxury,382.8333333
3966,Single Family Attached Residential Economy,476.3333333
3966,Single Family Detached Residential Economy,8316.666667
