Activity,ZoneNumber,Quantity,SizeTerm,ZoneConstant,Size,Year
Agriculture,64,3.61E-04,0.000361013,0,0,2004
Agriculture,66,0,0,0,0,2004
Agriculture,81,3.84E-04,0.000383662,0,0,2004
Agriculture,83,0,0,0,0,2004
Agriculture,98,0.00E+00,0,0,0,2004
Agriculture,100,0,0,0,0,2004
Agriculture,113,0.00E+00,0,0,0,2004
Agriculture,115,0.000164832,0.000164832,0,0,2004
Agriculture,130,0.00111024,0.00111024,0,0,2004
Agriculture,132,0,0,0,0,2004
Agriculture,147,0,0,0,0,2004
Agriculture,149,6.62E-04,0.000661669,0,0,2004
Agriculture,164,0.010396,0.010396,0,0,2004
Agriculture,166,0.00931449,0.00931449,0,0,2004
Agriculture,181,0.0100517,0.0100517,0,0,2004
Agriculture,183,0,0,0,0,2004
Agriculture,198,0.00208393,0.00208393,0,0,2004
Agriculture,200,9.54E-02,0.095386,0,0,2004
Agriculture,215,6.12E-03,0.00612318,0,0,2004
Agriculture,217,0.00E+00,0,0,0,2004
Agriculture,4,0.0120318,0.0120318,0,0,2004
Agriculture,11,3.17E-05,3.17E-05,0,0,2004
Agriculture,18,0.00106754,0.00106754,0,0,2004
Agriculture,29,0.00118283,0.00118283,0,0,2004
Agriculture,36,6.99E-05,6.99E-05,0,0,2004
Agriculture,43,0,0,0,0,2004
Agriculture,54,0,0,0,0,2004
Agriculture,61,2.37E-03,0.00236957,0,0,2004
Agriculture,68,0,0,0,0,2004
Agriculture,79,0,0,0,0,2004
Agriculture,86,0,0,0,0,2004
Agriculture,93,0,0,0,0,2004
Agriculture,104,0,0,0,0,2004
Agriculture,111,0,0,0,0,2004
Agriculture,118,0.000224597,0.000224597,0,0,2004
Agriculture,129,6.29E-07,6.29E-07,0,0,2004
Agriculture,136,4.45E-05,4.45E-05,0,0,2004
Agriculture,143,0,0,0,0,2004
Agriculture,154,7.86E-05,7.86E-05,0,0,2004
Agriculture,161,0.0244376,0.0244376,0,0,2004
Agriculture,168,0.00101927,0.00101927,0,0,2004
Agriculture,179,0.00759488,0.00759488,0,0,2004
Agriculture,186,0.00332565,0.00332565,0,0,2004
Agriculture,193,0.000753198,0.000753198,0,0,2004
Agriculture,204,0,0,0,0,2004
Agriculture,211,0.00261237,0.00261237,0,0,2004
Agriculture,218,0,0,0,0,2004
Agriculture,229,0,0,0,0,2004
