Activity,ZoneNumber,Quantity,SizeTerm,ZoneConstant,Size,Year
Agriculture,5,0,0,0,0,2004
Agriculture,6,1.01E-04,0.000101028,0,0,2004
Agriculture,23,5.27E-05,5.27E-05,0,0,2004
Agriculture,24,2.01E-04,0.000200951,0,0,2004
Agriculture,38,1.09E-03,0.00108691,0,0,2004
Agriculture,41,0.00E+00,0,0,0,2004
Agriculture,55,0.00E+00,0,0,0,2004
Agriculture,56,0,0,0,0,2004
Agriculture,73,0,0,0,0,2004
Agriculture,74,0.00E+00,0,0,0,2004
Agriculture,88,0.00E+00,0,0,0,2004
Agriculture,91,0.00E+00,0,0,0,2004
Agriculture,105,0,0,0,0,2004
Agriculture,106,0.00E+00,0,0,0,2004
Agriculture,123,0,0,0,0,2004
Agriculture,124,0.000372912,0.000372912,0,0,2004
Agriculture,138,0.00E+00,0,0,0,2004
Agriculture,141,0.00E+00,0,0,0,2004
Agriculture,142,0,0,0,0,2004
Agriculture,155,1.80E-02,0.0180362,0,0,2004
Agriculture,156,0.00E+00,0,0,0,2004
Agriculture,173,1.60E-03,0.00159521,0,0,2004
Agriculture,174,4.93E-03,0.00492789,0,0,2004
Agriculture,191,0.00853612,0.00853612,0,0,2004
Agriculture,192,2.61E-05,2.61E-05,0,0,2004
Agriculture,205,0.00169278,0.00169278,0,0,2004
Agriculture,206,0,0,0,0,2004
Agriculture,223,0.00E+00,0,0,0,2004
Agriculture,224,0.00E+00,0,0,0,2004
Agriculture,2,4.41E-05,4.41E-05,0,0,2004
Agriculture,9,0.000261272,0.000261272,0,0,2004
Agriculture,20,1.03E-03,0.00102558,0,0,2004
Agriculture,27,9.81E-05,9.81E-05,0,0,2004
Agriculture,34,0.00E+00,0,0,0,2004
Agriculture,45,0,0,0,0,2004
Agriculture,52,0,0,0,0,2004
Agriculture,59,0.00E+00,0,0,0,2004
Agriculture,70,0,0,0,0,2004
Agriculture,77,0.00E+00,0,0,0,2004
Agriculture,84,0.000544571,0.000544571,0,0,2004
Agriculture,95,0.00E+00,0,0,0,2004
Agriculture,102,0,0,0,0,2004
Agriculture,109,0,0,0,0,2004
Agriculture,120,1.29E-05,1.29E-05,0,0,2004
Agriculture,127,0.00E+00,0,0,0,2004
Agriculture,134,1.67E-06,1.67E-06,0,0,2004
Agriculture,145,0,0,0,0,2004
Agriculture,152,8.71E-05,8.71E-05,0,0,2004
Agriculture,159,1.82E-03,0.00181796,0,0,2004
Agriculture,170,0.00731009,0.00731009,0,0,2004
Agriculture,177,0.077674,0.077674,0,0,2004
Agriculture,184,0.0102895,0.0102895,0,0,2004
Agriculture,188,0.0039024,0.0039024,0,0,2004
Agriculture,195,3.66E-03,0.00365531,0,0,2004
Agriculture,202,0.0157111,0.0157111,0,0,2004
Agriculture,209,1.67E-02,0.0166984,0,0,2004
Agriculture,213,0.00307024,0.00307024,0,0,2004
Agriculture,220,0.000270889,0.000270889,0,0,2004
Agriculture,227,0.0120004,0.0120004,0,0,2004
Agriculture,17,0.00140634,0.00140634,0,0,2004
Agriculture,19,1.00E-03,0.00100039,0,0,2004
Agriculture,26,0,0,0,0,2004
Agriculture,28,0.0022891,0.0022891,0,0,2004
Agriculture,51,0,0,0,0,2004
Agriculture,53,0,0,0,0,2004
Agriculture,60,0.000902059,0.000902059,0,0,2004
Agriculture,62,0,0,0,0,2004
Agriculture,85,0.00108392,0.00108392,0,0,2004
Agriculture,87,0,0,0,0,2004
Agriculture,92,0,0,0,0,2004
Agriculture,94,0,0,0,0,2004
Agriculture,96,0,0,0,0,2004
Agriculture,117,0,0,0,0,2004
Agriculture,119,0.00317162,0.00317162,0,0,2004
Agriculture,121,0,0,0,0,2004
Agriculture,126,0.00212517,0.00212517,0,0,2004
Agriculture,128,0,0,0,0,2004
Agriculture,151,2.16E-05,2.16E-05,0,0,2004
Agriculture,153,1.10E-04,0.000109594,0,0,2004
Agriculture,160,1.46E-02,0.0146037,0,0,2004
Agriculture,162,0.00743303,0.00743303,0,0,2004
Agriculture,185,0.000569367,0.000569367,0,0,2004
Agriculture,187,0.0060547,0.0060547,0,0,2004
Agriculture,194,7.17E-03,0.00717018,0,0,2004
Agriculture,196,0.00964216,0.00964216,0,0,2004
Agriculture,219,0,0,0,0,2004
Agriculture,221,4.18E-05,4.18E-05,0,0,2004
Agriculture,226,0,0,0,0,2004
Agriculture,228,0.000266553,0.000266553,0,0,2004
Agriculture,14,0.000653834,0.000653834,0,0,2004
Agriculture,16,0,0,0,0,2004
Agriculture,31,0.000163856,0.000163856,0,0,2004
Agriculture,33,0,0,0,0,2004
Agriculture,46,0.00661862,0.00661862,0,0,2004
Agriculture,48,0.00324007,0.00324007,0,0,2004
Agriculture,50,1.63E-04,0.000162928,0,0,2004
Agriculture,63,0,0,0,0,2004
Agriculture,65,1.44E-03,0.00143717,0,0,2004
Agriculture,80,0,0,0,0,2004
Agriculture,82,0,0,0,0,2004
Agriculture,97,0.00E+00,0,0,0,2004
Agriculture,99,0,0,0,0,2004
Agriculture,114,0,0,0,0,2004
Agriculture,116,0,0,0,0,2004
Agriculture,131,0,0,0,0,2004
Agriculture,133,0,0,0,0,2004
Agriculture,148,0.000956512,0.000956512,0,0,2004
Agriculture,150,0,0,0,0,2004
Agriculture,163,0.052211,0.052211,0,0,2004
Agriculture,165,0.0234967,0.0234967,0,0,2004
Agriculture,167,0.00756906,0.00756906,0,0,2004
Agriculture,180,0.0247854,0.0247854,0,0,2004
Agriculture,182,0.0172191,0.0172191,0,0,2004
Agriculture,197,0.00477399,0.00477399,0,0,2004
Agriculture,199,1.16E-02,0.0116275,0,0,2004
Agriculture,214,0.0265142,0.0265142,0,0,2004
Agriculture,216,0,0,0,0,2004
Agriculture,1,0,0,0,0,2004
Agriculture,3,0.00187578,0.00187578,0,0,2004
Agriculture,10,7.44E-05,7.44E-05,0,0,2004
Agriculture,12,0.00125542,0.00125542,0,0,2004
Agriculture,35,6.29E-04,0.00062926,0,0,2004
Agriculture,37,0.00268771,0.00268771,0,0,2004
Agriculture,42,0,0,0,0,2004
Agriculture,44,0,0,0,0,2004
Agriculture,67,0,0,0,0,2004
Agriculture,69,0,0,0,0,2004
Agriculture,71,0,0,0,0,2004
Agriculture,76,0,0,0,0,2004
Agriculture,78,0,0,0,0,2004
Agriculture,101,0,0,0,0,2004
Agriculture,103,0,0,0,0,2004
Agriculture,110,0,0,0,0,2004
Agriculture,112,1.06E-05,1.06E-05,0,0,2004
Agriculture,135,1.77E-05,1.77E-05,0,0,2004
Agriculture,137,0,0,0,0,2004
Agriculture,144,7.04E-05,7.04E-05,0,0,2004
Agriculture,146,3.34E-05,3.34E-05,0,0,2004
Agriculture,169,0.000811277,0.000811277,0,0,2004
Agriculture,171,0.00939304,0.00939304,0,0,2004
Agriculture,176,0.0283465,0.0283465,0,0,2004
Agriculture,178,0.0566214,0.0566214,0,0,2004
Agriculture,201,0.166784,0.166784,0,0,2004
Agriculture,203,0.00971558,0.00971558,0,0,2004
Agriculture,210,0.000883997,0.000883997,0,0,2004
Agriculture,212,0.0120206,0.0120206,0,0,2004
Agriculture,7,0.000664514,0.000664514,0,0,2004
Agriculture,8,6.68E-05,6.68E-05,0,0,2004
Agriculture,21,0.00187245,0.00187245,0,0,2004
Agriculture,22,0.00302571,0.00302571,0,0,2004
Agriculture,25,0,0,0,0,2004
Agriculture,39,0.008457,0.008457,0,0,2004
Agriculture,40,0,0,0,0,2004
Agriculture,57,0,0,0,0,2004
Agriculture,58,0.00E+00,0,0,0,2004
Agriculture,72,0,0,0,0,2004
Agriculture,75,0.00E+00,0,0,0,2004
Agriculture,89,0.00E+00,0,0,0,2004
Agriculture,90,0.00E+00,0,0,0,2004
Agriculture,107,0.00E+00,0,0,0,2004
Agriculture,108,0.00E+00,0,0,0,2004
Agriculture,122,2.43E-03,0.0024256,0,0,2004
Agriculture,125,5.60E-03,0.00559889,0,0,2004
Agriculture,139,0.00E+00,0,0,0,2004
Agriculture,140,0.00E+00,0,0,0,2004
Agriculture,157,1.26E-02,0.0126336,0,0,2004
Agriculture,158,2.43E-02,0.0242542,0,0,2004
Agriculture,172,0.00369095,0.00369095,0,0,2004
Agriculture,175,3.85E-04,0.000384828,0,0,2004
Agriculture,189,1.32E-02,0.0131639,0,0,2004
Agriculture,190,0.00E+00,0,0,0,2004
Agriculture,207,0.00E+00,0,0,0,2004
Agriculture,208,0.00E+00,0,0,0,2004
Agriculture,222,0.00E+00,0,0,0,2004
Agriculture,225,0,0,0,0,2004
Agriculture,13,7.54E-03,0.00754395,0,0,2004
Agriculture,15,1.33E-05,1.33E-05,0,0,2004
Agriculture,30,3.36E-05,3.36E-05,0,0,2004
Agriculture,32,4.82E-04,0.000482347,0,0,2004
Agriculture,47,0.00E+00,0,0,0,2004
Agriculture,49,1.15E-03,0.00114997,0,0,2004
